MSZoning,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplace,GarageArea,SaleCondition,SalePrice
RL,8658,1Fam,1Story,6,5,1965,Y,1324,2,0,3,1,TA,Y,440,Abnorml,160000
RL,16905,1Fam,1Story,5,6,1959,Y,1328,1,1,2,1,TA,Y,308,Normal,170000
RL,9180,1Fam,SFoyer,5,7,1983,Y,884,1,0,2,1,Gd,N,504,Normal,144000
RL,9200,1Fam,1Story,5,6,1975,Y,938,1,0,3,1,TA,N,308,Normal,130250
RL,7945,1Fam,1Story,5,6,1959,Y,1150,1,0,3,1,TA,N,300,Normal,141000
RL,7658,TwnhsE,1Story,9,5,2005,Y,1752,2,0,2,1,Ex,Y,576,Normal,319900
RL,12822,1Fam,1.5Fin,7,5,2003,Y,2149,1,1,1,1,Gd,Y,670,Abnorml,239686
FV,11096,1Fam,1Story,8,5,2006,Y,1656,2,0,3,1,Gd,N,826,Normal,249700
RM,4456,2fmCon,2Story,4,5,1920,Y,1452,2,0,2,3,TA,N,0,Partial,113000
RL,7742,1Fam,1Story,5,7,1966,Y,955,1,0,3,1,TA,N,386,Normal,127000
RL,13869,1Fam,2Story,6,6,1997,Y,1470,2,0,3,1,TA,N,388,Normal,177000
RM,6240,1Fam,1.5Fin,6,6,1934,Y,1176,1,0,3,1,TA,Y,528,Normal,114500
RM,8472,Duplex,1Story,5,5,1963,N,816,1,0,2,1,TA,N,516,Normal,110000
RL,50271,1Fam,1Story,9,5,1981,Y,1842,0,1,0,1,Gd,Y,894,Normal,385000
RL,7134,1Fam,SLvl,5,5,1955,Y,1360,1,0,3,1,TA,Y,572,Normal,130000
RL,10175,1Fam,1Story,6,5,1964,Y,1425,2,0,3,1,TA,Y,576,Normal,180500
FV,2645,Twnhs,2Story,8,5,1999,Y,1739,2,1,3,1,Gd,N,480,Abnorml,172500
RL,11645,1Fam,2Story,7,5,2004,Y,1720,2,1,3,1,Gd,N,565,Normal,196500
RL,13682,1Fam,2Story,10,5,2006,Y,2945,3,1,3,1,Gd,Y,641,Partial,438780
RL,7200,1Fam,1Story,5,7,1972,Y,780,1,0,2,1,TA,N,352,Normal,124900
RL,13072,1Fam,1Story,6,5,2004,Y,1158,1,1,3,1,Gd,N,576,Partial,158000
RM,7200,1Fam,2.5Unf,5,7,1920,N,1111,1,0,3,1,Fa,N,288,Normal,101000
RL,6442,TwnhsE,1Story,8,5,2006,Y,1370,2,0,2,1,Gd,Y,484,Normal,202500
RM,10300,1Fam,2Story,7,6,1921,Y,1710,2,0,3,1,TA,N,480,Normal,140000
RL,9375,1Fam,2Story,7,5,1997,Y,2034,2,1,3,1,Gd,N,645,Normal,219500
RL,9591,1Fam,2Story,8,5,2004,Y,2473,2,1,4,1,Gd,Y,852,Normal,317000
RL,19900,1Fam,1Story,7,5,1970,Y,2207,2,0,3,1,TA,Y,576,Normal,180000
RL,10665,1Fam,1Story,7,5,2003,Y,1479,2,0,3,1,Gd,N,558,Normal,226000
RM,4608,1Fam,1Story,4,6,1945,Y,747,1,0,2,1,TA,N,220,Normal,80000
RL,15593,1Fam,1.5Fin,7,4,1953,Y,2287,2,0,3,1,TA,Y,667,Normal,225000
RL,13651,1Fam,1Story,7,6,1973,Y,2223,2,0,3,1,TA,Y,516,Normal,244000
RL,7599,1Fam,1Story,4,6,1982,Y,845,1,0,2,1,TA,N,360,Normal,129500
RL,10141,1Fam,2Story,7,5,1998,Y,1718,2,1,3,1,TA,Y,427,Normal,185000
RL,10200,1Fam,1Story,5,7,1954,Y,1086,1,0,3,1,TA,N,490,Normal,144900
RM,5790,1Fam,2Story,3,6,1915,N,1605,2,0,3,2,TA,N,379,Normal,107400
RM,1596,Twnhs,SLvl,4,5,1973,Y,988,1,0,2,1,TA,N,297,Normal,91000
RL,8475,1Fam,1Story,4,7,1956,Y,952,1,0,2,1,TA,N,283,Normal,135750
RM,8635,1Fam,1.5Fin,5,5,1948,Y,1285,1,0,2,1,TA,N,240,Normal,127000
RL,10778,Duplex,1Story,4,5,1968,N,1768,2,0,4,2,TA,N,0,Normal,136500
RM,10440,1Fam,2Story,5,6,1910,Y,1230,1,1,2,1,TA,N,440,Normal,110000
RL,13000,1Fam,2Story,6,6,1968,Y,2142,2,1,4,1,Gd,Y,509,Normal,193500
RM,4500,TwnhsE,1Story,6,5,1998,Y,1337,2,0,2,1,TA,N,405,Normal,153500
RL,10206,1Fam,1Story,8,5,2007,Y,1563,2,0,3,1,Gd,Y,758,Normal,245000
RL,8892,1Fam,1Story,5,5,1960,Y,1065,1,1,3,1,TA,N,461,Normal,126500
RL,8530,1Fam,SLvl,7,5,1995,Y,1474,2,1,3,1,TA,Y,400,Normal,168500
RL,16059,1Fam,2Story,8,5,1991,Y,2417,2,1,4,1,Gd,Y,462,Normal,260000
RL,11911,1Fam,2Story,6,5,2005,Y,1560,2,1,3,1,Gd,Y,400,Normal,174000
FV,3951,TwnhsE,2Story,6,5,2009,Y,1224,2,1,2,1,Gd,N,528,Partial,164500
C (all),8470,1Fam,1.5Fin,3,2,1915,N,1526,1,0,2,1,Fa,N,0,Abnorml,85000
RL,8070,1Fam,1Story,4,5,1994,Y,990,1,0,3,1,TA,N,0,Normal,123600
RL,7200,1Fam,1Story,4,5,1950,Y,1040,1,0,2,1,TA,N,420,Normal,109900
RL,8500,1Fam,1Story,5,3,1961,Y,1235,1,0,2,1,TA,N,480,Abnorml,98600
RL,13360,1Fam,1Story,5,7,1921,Y,964,1,0,2,1,TA,N,432,Normal,163500
C (all),7200,2fmCon,2.5Unf,6,6,1910,N,2291,2,0,4,2,TA,Y,506,Normal,133900
RL,9337,1Fam,2Story,6,5,1997,Y,1786,2,1,3,1,Gd,N,684,Normal,204750
RL,9765,1Fam,2Story,6,8,1993,Y,1470,2,1,3,1,TA,Y,420,Normal,185000
RL,10264,1Fam,1Story,7,5,1999,Y,1588,2,0,3,1,Gd,N,472,Normal,214000
RL,10921,1Fam,1Story,4,5,1965,Y,960,1,0,3,1,TA,N,432,Normal,94750
RL,10625,1Fam,1Story,5,5,1920,N,835,1,0,2,1,TA,N,366,Abnorml,83000
RL,9320,1Fam,1Story,4,5,1959,Y,1225,1,1,3,1,TA,N,0,Normal,128950
RL,10603,1Fam,1Story,6,7,1977,Y,1610,2,0,3,1,Gd,Y,480,Normal,205000
RL,9206,1Fam,2Story,6,5,1985,Y,1732,2,1,3,1,Gd,Y,476,Normal,178000
RL,7018,Duplex,1Story,5,5,1979,Y,1535,2,0,4,2,TA,N,410,Alloca,118964
RL,10402,1Fam,1Story,7,5,2009,Y,1226,2,0,3,1,Gd,N,740,Normal,198900
RM,7758,1Fam,1.5Fin,7,4,1931,Y,1818,1,1,4,1,TA,Y,240,Normal,169500
FV,9375,1Fam,2Story,8,5,2003,Y,1992,2,1,3,1,Gd,Y,648,Normal,250000
RM,10800,1Fam,1Story,4,7,1885,Y,1047,1,0,2,1,TA,N,273,Normal,100000
RM,6000,1Fam,1Story,5,5,1948,Y,789,1,0,2,1,TA,N,250,Partial,115000
RM,8500,1Fam,1.5Fin,5,7,1919,N,1517,2,0,3,1,Fa,N,0,Normal,115000
RL,11751,1Fam,1Story,6,6,1977,Y,1844,2,0,3,1,TA,Y,546,Normal,190000
RL,9525,1Fam,1.5Fin,6,4,1954,Y,1855,2,0,4,1,TA,N,325,Normal,136900
RL,7750,1Fam,SLvl,7,5,2000,Y,1430,2,1,3,1,TA,Y,400,Normal,180000
RL,9965,1Fam,2Story,7,5,2007,Y,2696,2,1,4,1,Ex,Y,792,Partial,383970
RL,21000,1Fam,1Story,6,5,1953,Y,2259,2,0,3,1,Gd,Y,450,Abnorml,217000
RL,7259,1Fam,2Story,6,8,1945,Y,2320,2,1,3,1,Gd,Y,180,Normal,259500
FV,3230,TwnhsE,2Story,6,5,1999,Y,1458,2,1,2,1,TA,Y,440,Normal,176000
RL,11616,1Fam,1Story,5,5,1962,Y,1092,1,0,3,1,TA,Y,288,Normal,139000
RL,8536,1Fam,1Story,5,5,2006,Y,1125,1,1,2,1,TA,N,430,Partial,155000
RL,12376,1Fam,2Story,7,5,1990,Y,3222,3,0,5,1,Gd,Y,594,Normal,320000
RL,8461,1Fam,2Story,6,5,2005,Y,1456,2,1,3,1,Gd,Y,390,Partial,163990
RL,21453,1Fam,SLvl,6,5,1969,Y,988,1,0,1,1,TA,Y,540,Normal,180000
RM,6060,1Fam,1.5Fin,4,5,1939,Y,1123,1,0,3,1,TA,N,264,Normal,100000
RL,9464,1Fam,1Story,6,7,1958,Y,1080,1,0,3,1,TA,N,288,Normal,136000
RL,7892,TwnhsE,1Story,6,5,1993,Y,1199,2,0,2,1,Gd,N,530,Normal,153900
RL,17043,1Fam,1Story,6,5,1979,Y,1586,2,0,3,1,TA,Y,435,Normal,181000
RM,6780,2fmCon,1.5Fin,6,8,1935,N,754,1,0,2,1,TA,N,0,Normal,84500
RL,4928,TwnhsE,1Story,6,5,1976,Y,958,2,0,2,1,TA,Y,440,Normal,128000
RM,4388,1Fam,1.5Unf,5,7,1930,Y,840,1,0,3,1,TA,Y,0,Normal,87000
RL,7590,1Fam,2Story,6,5,1966,Y,1348,1,1,3,1,TA,Y,453,Normal,155000
RL,8973,1Fam,1Story,5,7,1958,Y,1053,1,1,3,1,Ex,N,750,Abnorml,150000
RL,14200,1Fam,2Story,7,6,1966,Y,2157,2,1,4,1,Gd,Y,487,Normal,226000
RL,12224,1Fam,2Story,6,5,2000,Y,2054,2,1,3,1,Gd,Y,390,Normal,244000
RL,7388,1Fam,1Story,5,6,1959,Y,1327,1,0,3,1,Gd,N,624,Normal,150750
RL,6853,1Fam,1Story,8,5,2001,Y,1296,2,0,2,1,Gd,N,471,Normal,220000
RL,10335,1Fam,1Story,5,6,1968,Y,1721,2,1,3,1,TA,Y,440,Normal,180000
RL,10400,1Fam,1Story,7,6,1970,Y,1682,2,0,3,1,TA,Y,530,Normal,174000
RL,10355,1Fam,1Story,5,5,1967,Y,1214,2,0,3,1,TA,Y,318,Normal,143000
RL,11070,Duplex,1Story,7,5,1988,Y,1959,3,0,5,2,TA,N,766,Family,171000
RL,9066,1Fam,2Story,8,5,1999,Y,1852,2,1,3,1,Gd,Y,660,Normal,230000
RL,15426,1Fam,2Story,6,5,1997,Y,1764,2,1,3,1,Gd,N,470,Normal,231500
RL,10500,1Fam,1Story,4,5,1971,Y,864,1,0,3,1,TA,Y,0,Normal,115000
RL,11645,1Fam,1Story,7,5,2005,Y,1734,2,0,3,1,Gd,N,660,Normal,260000
RL,8520,1Fam,1.5Fin,5,4,1952,Y,1385,2,0,4,1,TA,N,720,Normal,166000
RL,10335,1Fam,1Story,7,5,1999,Y,1501,2,0,3,1,Gd,N,577,Normal,204000
RM,9100,Duplex,1Story,5,5,1963,Y,1728,2,0,6,2,TA,N,504,Abnorml,125000
RM,2522,Twnhs,2Story,6,5,2004,Y,1709,2,0,3,1,Gd,N,380,Normal,130000
RM,6120,1Fam,1Story,5,7,1931,Y,875,1,0,2,1,TA,N,180,Normal,105000
RL,9505,1Fam,2Story,7,5,2001,Y,2035,2,1,3,1,Gd,Y,434,Normal,222500
RL,7500,1Fam,1Story,7,5,2004,Y,1080,1,0,3,1,Gd,N,0,Normal,141000
RM,6240,1Fam,1.5Fin,5,4,1936,Y,1344,1,0,3,1,TA,N,240,Normal,115000
RL,10356,1Fam,1Story,5,6,1975,Y,969,1,1,3,1,TA,N,440,Normal,122000
RL,13891,1Fam,1Story,8,5,2007,Y,1710,2,0,2,1,Gd,Y,866,Partial,372402
RL,14803,1Fam,2Story,6,5,1971,Y,1993,2,1,4,1,TA,Y,495,Normal,190000
RL,13500,1Fam,1Story,6,7,1960,Y,1252,1,0,1,1,TA,Y,564,Normal,235000
RM,11340,1Fam,1Story,6,5,1923,Y,1200,1,0,4,1,TA,N,312,Family,125000
RL,9600,1Fam,1.5Fin,6,5,1924,N,1096,1,0,2,1,TA,N,0,Normal,79000
RL,7200,1Fam,1Story,5,7,1950,Y,1040,1,0,2,1,TA,N,625,Normal,109500
RL,12003,1Fam,2Story,8,5,2009,Y,1968,2,1,4,1,Ex,Y,680,Partial,269500
FV,12552,1Fam,2Story,7,5,2004,Y,1947,2,1,3,1,Gd,Y,678,Normal,254900
RL,19378,1Fam,2Story,7,5,2005,Y,2462,2,1,4,1,Gd,Y,576,Partial,320000
RL,11120,1Fam,1Story,6,6,1984,Y,1232,2,0,3,1,TA,N,516,Normal,162500
RL,13688,1Fam,2Story,9,5,2003,Y,2668,2,1,3,1,Ex,Y,726,Normal,412500
RL,12182,1Fam,1Story,7,5,2005,Y,1541,2,0,3,1,Gd,Y,532,Partial,220000
RL,5500,1Fam,1.5Unf,4,6,1956,Y,882,1,0,1,1,TA,N,0,Normal,103200
RM,5400,1Fam,1Story,6,7,1926,Y,1616,2,0,3,1,Gd,N,216,Normal,152000
RL,10106,2fmCon,1.5Fin,5,7,1940,Y,1355,2,0,4,2,TA,N,0,Normal,127500
RL,10708,1Fam,1Story,5,5,1955,Y,1867,1,0,2,1,TA,Y,303,Normal,190000
RL,10562,1Fam,2Story,8,5,2007,Y,2161,1,1,3,1,Ex,Y,789,Partial,325624
RL,8244,1Fam,2Story,7,5,2004,Y,1720,2,1,3,1,Gd,Y,440,Normal,183500
RL,16669,1Fam,1Story,8,6,1981,Y,1707,2,1,2,1,TA,Y,511,Normal,228000
RM,12358,1Fam,1.5Fin,5,6,1941,Y,1382,1,1,2,1,TA,N,660,Normal,128500
RL,31770,1Fam,1Story,6,5,1960,Y,1656,1,0,3,1,TA,Y,528,Normal,215000
RL,5306,TwnhsE,2Story,7,7,1987,Y,1767,2,0,2,1,Gd,Y,504,Normal,239000
RL,10197,1Fam,1Story,6,5,1961,Y,1362,1,1,3,1,TA,Y,504,Normal,163000
RL,12416,1Fam,1Story,6,5,1986,Y,1651,2,0,3,1,TA,Y,616,Normal,184000
RL,12615,1Fam,1Story,6,7,1950,Y,2158,2,0,4,1,Gd,Y,576,Normal,243000
RL,10029,1Fam,2Story,6,5,1988,Y,2060,2,1,4,1,TA,Y,521,Normal,211000
RL,13650,1Fam,1.5Fin,5,5,1958,Y,1920,2,0,4,1,Gd,Y,451,Normal,172500
RL,17423,1Fam,1Story,9,5,2008,Y,2234,2,0,1,1,Ex,Y,1166,Partial,501837
RM,8520,1Fam,1Story,5,6,1923,Y,968,1,0,2,1,TA,N,480,Normal,100000
FV,2117,Twnhs,2Story,6,5,2000,Y,1525,2,1,3,1,Gd,Y,440,Normal,177000
RL,7588,1Fam,2Story,7,6,1920,Y,1802,1,1,4,1,TA,Y,216,Normal,200100
RL,9060,1Fam,1Story,5,6,1957,Y,1340,1,0,3,1,TA,Y,252,Normal,120000
RM,11426,1Fam,1.5Fin,7,5,2003,Y,2082,2,1,3,1,Gd,N,484,Normal,200000
RL,7438,1Fam,1.5Fin,5,8,1908,Y,1252,1,0,3,1,TA,N,576,Normal,127000
RM,22950,1Fam,2.5Fin,10,9,1892,Y,3608,2,1,4,1,Ex,Y,840,Normal,475000
RL,9947,1Fam,SLvl,7,5,1990,Y,1217,2,0,3,1,Gd,N,497,Normal,173000
RL,10410,1Fam,1.5Fin,5,7,1916,Y,1656,2,1,3,1,TA,N,180,Normal,135000
RL,7018,Duplex,SFoyer,5,5,1979,Y,1224,0,2,2,2,TA,Y,528,Alloca,153337
RL,4923,TwnhsE,1Story,8,5,2001,Y,1593,1,1,0,1,Ex,Y,682,Normal,286000
RL,10570,1Fam,2Story,8,8,1932,Y,2727,2,1,3,1,Gd,Y,440,Normal,315000
RL,7472,1Fam,2Story,7,9,1972,Y,1479,1,1,4,1,Gd,N,484,Normal,184000
RL,9017,1Fam,1Story,7,5,1999,Y,1431,2,0,3,1,Gd,N,666,Normal,192000
RM,2522,Twnhs,2Story,7,5,2004,Y,1709,2,0,3,1,Gd,N,380,Normal,130000
RL,7180,1Fam,1Story,5,7,1972,Y,864,1,0,3,1,TA,N,352,Normal,127000
RL,2280,Twnhs,2Story,6,6,1976,Y,1456,2,1,3,1,TA,Y,440,Normal,148500
RL,9416,1Fam,1Story,7,5,2007,Y,1726,2,0,3,1,Ex,Y,786,Partial,311872
RL,25419,1Fam,2Story,8,4,1918,Y,3112,2,0,4,1,Gd,Y,795,Abnorml,235000
RM,5520,1Fam,2.5Fin,6,6,1912,Y,2229,1,0,5,1,TA,N,0,Abnorml,104000
RL,9591,1Fam,1Story,8,5,2004,Y,1713,2,0,3,1,Ex,Y,856,Normal,274900
RM,8546,1Fam,1Story,4,5,2003,Y,1121,2,0,2,1,TA,N,440,Normal,140000
RL,10125,1Fam,1Story,6,6,1977,Y,1279,2,0,3,1,TA,Y,473,Normal,171500
RL,7000,1Fam,1.5Fin,6,6,1924,Y,1310,2,0,2,1,TA,N,398,Normal,112000
RM,4438,TwnhsE,1Story,6,5,2004,Y,848,1,0,1,1,Gd,Y,420,Normal,149000
RM,3500,1Fam,1.5Fin,5,7,1947,Y,1284,1,1,2,1,TA,N,240,Normal,110000
RL,11851,1Fam,1Story,7,5,1990,Y,1442,2,0,3,1,TA,N,500,Normal,180500
RL,13673,1Fam,1Story,5,5,1962,Y,1696,1,1,3,1,TA,Y,349,Normal,143900
RL,12493,1Fam,1Story,4,5,1960,Y,1100,1,0,3,1,TA,Y,312,Normal,141000
RL,14364,1Fam,2Story,7,5,1988,Y,2062,2,1,3,1,TA,Y,454,Normal,277000
RL,8250,1Fam,1Story,6,7,1964,Y,1092,1,0,3,1,TA,N,504,Normal,145000
RL,5604,1Fam,1Story,5,6,1925,N,864,1,0,2,1,TA,N,0,Normal,98000
RL,10420,1Fam,1Story,6,5,2009,Y,1212,2,0,3,1,Gd,N,460,Normal,186000
FV,8640,1Fam,2Story,7,5,2009,Y,1852,2,1,3,1,Gd,Y,644,Partial,252678
RL,13568,1Fam,1Story,5,5,1995,Y,990,1,0,3,1,TA,N,576,Normal,156000
RL,10900,1Fam,2Story,6,7,1977,Y,1392,1,1,3,1,TA,N,299,Normal,161750
RL,10011,1Fam,1Story,5,6,1957,Y,1236,1,0,2,1,Gd,Y,447,Normal,134450
RL,8450,1Fam,1Story,7,5,2004,Y,1436,2,0,3,1,Gd,N,484,Normal,210000
RM,9906,1Fam,2Story,4,4,1925,N,1328,1,0,3,1,TA,N,210,Family,107000
RL,15660,1Fam,1.5Fin,7,9,1939,Y,1954,1,1,3,1,Gd,Y,431,Normal,311500
RL,3010,TwnhsE,1Story,7,5,2005,Y,1248,2,0,2,1,Gd,N,438,Partial,167240
RL,8990,1Fam,1Story,7,5,2006,Y,1498,2,0,2,1,Gd,N,675,Partial,204900
RL,8068,1Fam,2Story,6,5,2002,Y,2267,2,1,4,1,Gd,Y,390,Normal,200000
RL,11475,1Fam,2Story,6,6,1975,Y,1552,2,1,3,1,TA,Y,434,Normal,179900
RL,10500,1Fam,1Story,4,6,1971,Y,864,1,0,2,1,TA,N,576,Abnorml,97000
RL,13472,1Fam,1Story,10,5,2003,Y,2392,2,0,3,1,Ex,Y,968,Normal,386250
RM,1680,Twnhs,2Story,5,5,1971,Y,1302,2,1,3,1,TA,N,280,Abnorml,112000
RL,9950,1Fam,2Story,7,5,1995,Y,2520,2,1,4,1,Gd,Y,721,Abnorml,290000
RM,1869,Twnhs,2Story,6,6,1970,Y,987,1,1,2,1,TA,N,280,Normal,106000
RL,8521,1Fam,1Story,5,5,1967,Y,912,1,0,3,1,TA,Y,336,Normal,125000
RL,3182,TwnhsE,1Story,7,5,2005,Y,1555,2,0,2,1,Gd,Y,430,Normal,192500
RL,8760,1Fam,1Story,6,6,1959,Y,1194,1,0,3,1,TA,N,312,Normal,148000
RL,15138,1Fam,2Story,8,5,1995,Y,2794,2,1,4,1,Ex,Y,810,Normal,403000
RM,1680,Twnhs,2Story,6,5,1972,Y,987,1,1,2,1,TA,Y,288,Normal,94500
RL,10650,1Fam,1Story,5,6,1976,Y,894,1,0,3,1,TA,N,308,Normal,128200
RL,7851,1Fam,2Story,6,5,2002,Y,1960,2,1,4,1,Gd,Y,440,Normal,216500
RM,1680,TwnhsE,2Story,6,3,1971,Y,987,1,1,2,1,TA,N,264,Normal,89500
RL,8773,1Fam,1Story,7,5,2004,Y,1414,2,0,3,1,Gd,N,494,Normal,185500
RL,9453,1Fam,2Story,7,7,1993,Y,1744,2,1,3,1,Gd,N,457,Normal,194500
RL,12030,1Fam,1Story,8,5,2007,Y,1694,2,0,3,1,Gd,N,818,Partial,318000
RL,8741,1Fam,1.5Fin,6,4,1945,Y,1487,1,1,3,1,TA,Y,220,Normal,113000
FV,9000,1Fam,1Story,8,5,2008,Y,1566,2,0,3,1,Gd,N,750,Normal,262500
RM,3880,1Fam,1Story,5,9,1945,Y,866,1,0,2,1,Gd,N,0,Normal,110500
RM,5000,1Fam,1.5Fin,5,4,1900,N,1440,1,0,3,1,TA,N,352,Normal,79000
RL,10762,TwnhsE,2Story,6,6,1980,Y,1217,1,1,3,1,TA,Y,288,Normal,120000
RL,8880,1Fam,2Story,7,5,1994,Y,2110,2,1,3,1,Gd,Y,463,Normal,205000
RL,10400,1Fam,1Story,7,5,1988,Y,1872,2,0,3,1,TA,Y,604,Normal,241500
RM,9142,2fmCon,2Story,6,8,1910,N,1928,2,0,4,2,Fa,N,440,Normal,137000
RL,11310,1Fam,1Story,6,5,1954,Y,1375,1,0,2,1,TA,Y,451,Normal,140000
RL,11317,1Fam,2Story,7,5,2003,Y,1668,2,1,3,1,Gd,N,500,Normal,180000
RL,159000,1Fam,1.5Fin,6,7,1958,Y,2144,2,0,4,1,Gd,Y,389,Normal,277000
RL,5350,1Fam,1Story,3,2,1940,Y,1306,1,0,3,1,Fa,N,0,Normal,76500
RM,4750,TwnhsE,1Story,8,5,2006,Y,1625,2,0,2,1,Gd,Y,538,Family,235000
RL,8366,1Fam,2Story,6,5,2004,Y,1640,2,1,3,1,Gd,N,520,Normal,173000
RL,9350,1Fam,SLvl,6,7,1964,Y,1302,2,0,3,1,Gd,N,309,Normal,158000
RL,8400,1Fam,1Story,5,6,1957,Y,1314,1,0,3,1,TA,N,294,Normal,145000
RL,8738,1Fam,2Story,7,5,1999,Y,2291,2,1,4,1,Gd,Y,429,Normal,230000
FV,8791,1Fam,2Story,6,5,2003,Y,1728,2,1,3,1,Gd,N,673,Normal,207500
RL,8814,1Fam,1Story,7,5,2006,Y,1604,2,1,3,1,Gd,Y,660,Abnorml,220000
RL,12435,1Fam,2Story,7,5,2001,Y,1792,2,1,3,1,Gd,Y,564,Normal,231500
RM,12702,1Fam,1Story,5,5,1956,Y,882,1,0,2,1,TA,N,308,Normal,97000
RL,19296,1Fam,SLvl,6,5,1962,Y,1382,1,0,3,1,TA,Y,884,Normal,176000
RL,9588,1Fam,2Story,8,5,2007,Y,2574,2,1,3,1,Ex,Y,868,Partial,276000
RL,8471,1Fam,SLvl,6,7,1977,Y,1212,1,0,3,1,TA,Y,492,Normal,151000
RM,5500,1Fam,1.5Fin,5,7,1929,Y,1316,1,0,3,1,TA,N,484,Normal,130000
RM,5232,1Fam,1Story,5,5,1925,N,764,1,0,2,1,TA,N,504,Normal,73000
RL,12090,1Fam,1Story,6,6,1981,Y,1422,2,0,3,1,Gd,Y,576,Normal,175500
